entity_type	entity	needs_review	description_source	description_words	empty_description
DISEASE	age related macular degeneration 5	0	MONDO	25	0
DISEASE	age related macular degeneration 6	0	MONDO	18	0
DISEASE	age related macular degeneration 7	0	MONDO	18	0
DISEASE	age related macular degeneration 9	0	MONDO	18	0
DISEASE	age-related macular degeneration	1	standard	39	0
DISEASE	age-related memory impairment	1	standard	38	0
DISEASE	aggressive b-cell non-hodgkin lymphoma	0	standard	31	0
DISEASE	aggressive behavior	1	standard	27	0
DISEASE	aggressive systemic mastocytosis	1	standard	49	0
DISEASE	agitated depression	0	corrected_overlay	15	0
DISEASE	agitation	1	standard	54	0
DISEASE	agitation and restlessness in the elderly	1	standard	54	0
DISEASE	agitation associated with alzheimer disease dementia	1	standard	54	0
DISEASE	agitation associated with schizophrenia or bipolar mania	1	modified_disease	33	0
DISEASE	agoraphobia	1	standard	16	0
DISEASE	agranulocytosis	1	standard	11	0
DISEASE	aids	1	alias_disease	59	0
DISEASE	aids defining illness	0	standard	13	0
DISEASE	aids related illness	1	standard	72	0
DISEASE	aids-related disorder	1	standard	18	0
DISEASE	aids-related kaposi's sarcoma	0	standard	27	0
DISEASE	al amyloidosis	1	standard	40	0
DISEASE	alagille syndrome	1	standard	66	0
DISEASE	aland island eye disease	0	MONDO	22	0
DISEASE	albuminuria	0	standard	12	0
DISEASE	alcohol abuse	1	standard	94	0
DISEASE	alcohol dependence	1	standard	94	0
DISEASE	alcohol sensitivity, acute	0	MONDO	148	0
DISEASE	alcohol withdrawal	1	standard	61	0
DISEASE	alcohol withdrawal delirium	1	standard	62	0
DISEASE	alcohol withdrawal syndrome	1	standard	62	0
DISEASE	alcoholic intoxication	0	standard	15	0
DISEASE	alcoholic liver diseases	1	standard	25	0
DISEASE	alcoholism	1	standard	94	0
DISEASE	aldosteronism	1	standard	22	0
DISEASE	alexander disease	1	MedGen	303	0
DISEASE	alk-positive advanced non-small cell lung cancer	1	modified_disease	33	0
DISEASE	alk-positive anaplastic large t-cell lymphoma	1	modified_disease	47	0
DISEASE	alk-positive metastatic non-small cell lung cancer	1	modified_disease	33	0
DISEASE	alkalinisation of the urine	1	standard	18	0
DISEASE	alkalosis	1	standard	13	0
DISEASE	alkaptonuria	1	standard	43	0
DISEASE	allergic bronchopulmonary aspergillosis	1	standard	31	0
DISEASE	allergic condition	0	standard	14	0
DISEASE	allergic conjunctivitis	1	standard	7	0
DISEASE	allergic contact dermatitis	1	standard	33	0
DISEASE	allergic fungal rhinosinusitis	1	curated_standard_definition	28	0
DISEASE	allergic otitis externa	1	standard	34	0
DISEASE	allergic rhinitis	1	standard	9	0
DISEASE	allergic rhinitis, susceptibility to	1	modified_disease	26	0
DISEASE	allergic states	1	standard	12	0
DISEASE	allergies	1	standard	18	0
DISEASE	allergy	1	standard	18	0
DISEASE	alopecia areata	1	standard	11	0
DISEASE	alopecia universalis congenita	1	MedGen	50	0
DISEASE	alopecia, androgenetic, 1	1	MONDO	39	0
DISEASE	alopecia-epilepsy-pyorrhea-intellectual disability syndrome	0	MONDO	55	0
DISEASE	alopecia-intellectual disability syndrome 1	1	MONDO	15	0
DISEASE	alpha 1-antitrypsin deficiency	1	standard	16	0
DISEASE	alpha hemolytic streptococcal infection	1	standard	34	0
DISEASE	alpha thalassemia spectrum	0	MONDO	23	0
DISEASE	alpha- or beta-thalassemia anemia	1	component_rescue	45	0
DISEASE	alpha-mannosidosis	1	standard	48	0
DISEASE	alpha-or beta-thalassemia anemia	1	name_only	10	0
DISEASE	alpha-thalassemia-myelodysplastic syndrome	0	MONDO	28	0
