head_name	relation	tail_name
Spermidine	METABOLIZED_BY	diamine N-acetyltransferase
Clofarabine	METABOLIZED_BY	deoxycytidine kinase
Clofibrate	METABOLIZED_BY	unspecific monooxygenase
Clofibrate	METABOLIZED_BY	alkane 1-monooxygenase
Estrone	METABOLIZED_BY	17beta-estradiol 17-dehydrogenase
Estrone	METABOLIZED_BY	3beta-hydroxysteroid 3-dehydrogenase
Estrone	METABOLIZED_BY	very-long-chain 3-oxoacyl-CoA reductase
Estrone	METABOLIZED_BY	enoyl-CoA hydratase 2
Epinephrine	METABOLIZED_BY	catechol O-methyltransferase
Aprepitant	METABOLIZED_BY	unspecific monooxygenase
Benzyl benzoate	METABOLIZED_BY	catalase peroxidase
Warfarin	METABOLIZED_BY	unspecific monooxygenase
Midazolam	METABOLIZED_BY	unspecific monooxygenase
Daunorubicin	METABOLIZED_BY	NADPH--hemoprotein reductase
Daunorubicin	METABOLIZED_BY	carbonyl reductase (NADPH)
Nitrofurantoin	METABOLIZED_BY	FMN reductase (NADPH)
Nitrofurantoin	METABOLIZED_BY	FMN reductase [NAD(P)H]
Lamivudine	METABOLIZED_BY	5'-nucleotidase
Lamivudine	METABOLIZED_BY	ethanolamine-phosphate cytidylyltransferase
Lamivudine	METABOLIZED_BY	choline-phosphate cytidylyltransferase
Oxacillin	METABOLIZED_BY	beta-lactamase
Adefovir dipivoxil	METABOLIZED_BY	adenylate kinase
Hydrocortisone	METABOLIZED_BY	steroid 11beta-monooxygenase
Etodolac	METABOLIZED_BY	glucuronosyltransferase
Tretinoin	METABOLIZED_BY	gamma-butyrobetaine dioxygenase
Meropenem	METABOLIZED_BY	beta-lactamase
Arachidonic Acid	METABOLIZED_BY	arachidonate 12-lipoxygenase
Arachidonic Acid	METABOLIZED_BY	arachidonate 15-lipoxygenase
Estrone sulfate	METABOLIZED_BY	protein-tyrosine-phosphatase
Estrone sulfate	METABOLIZED_BY	arylsulfatase (type I)
Uridine	METABOLIZED_BY	ribosylnicotinamide kinase
Uridine	METABOLIZED_BY	uridine/cytidine kinase
D-Mannose 1-phosphate	METABOLIZED_BY	phosphomannomutase
Zidovudine monophosphate	METABOLIZED_BY	dTMP kinase
Lanosterol	METABOLIZED_BY	sterol 14alpha-demethylase
Dihydroxyacetone	METABOLIZED_BY	FAD-AMP lyase (cyclizing)
Pantothenic acid	METABOLIZED_BY	pantothenate kinase
Pralatrexate	METABOLIZED_BY	tetrahydrofolate synthase
Deoxyuridine monophosphate	METABOLIZED_BY	thymidylate synthase
Irinotecan	METABOLIZED_BY	carboxylesterase
Irinotecan	METABOLIZED_BY	beta-glucuronidase
Alprostadil	METABOLIZED_BY	15-hydroxyprostaglandin dehydrogenase (NAD(+))
Etoposide	METABOLIZED_BY	prostaglandin-endoperoxide synthase
Estradiol	METABOLIZED_BY	peroxidase
Estradiol	METABOLIZED_BY	glucuronosyltransferase
Naproxen	METABOLIZED_BY	glucuronosyltransferase
Ribavirin	METABOLIZED_BY	purine-nucleoside phosphorylase
Ribavirin	METABOLIZED_BY	5'-nucleotidase
Propofol	METABOLIZED_BY	fatty acid amide hydrolase
Lauric acid	METABOLIZED_BY	pentalenic acid synthase
UDP-alpha-D-glucuronic acid	METABOLIZED_BY	N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase
D-Serine	METABOLIZED_BY	serine racemase
D-Serine	METABOLIZED_BY	D-amino-acid oxidase
Acetylcholine	METABOLIZED_BY	acetylcholinesterase
Phosphoenolpyruvate	METABOLIZED_BY	pyruvate kinase
Uridine diphosphate glucose	METABOLIZED_BY	UDP-glucose 6-dehydrogenase
Trifluoperazine	METABOLIZED_BY	flavin-containing monooxygenase
Loperamide	METABOLIZED_BY	FMN reductase (NADPH)
Oxazepam	METABOLIZED_BY	unspecific monooxygenase
Aminolevulinic acid	METABOLIZED_BY	porphobilinogen synthase
Diflunisal	METABOLIZED_BY	glucuronosyltransferase
Tacrolimus	METABOLIZED_BY	16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase
Benzphetamine	METABOLIZED_BY	unspecific monooxygenase
Ethanol	METABOLIZED_BY	alcohol dehydrogenase
