row_index	source_line	entity_type	entity	norm_entity	standard_name	description_source	description_words
121	53	DRUG	acrivastine	acrivastine	Acrivastine	standard	58
122	6470	DRUG	acrivastine / pseudoephedrine oral capsule	acrivastine / pseudoephedrine oral capsule	Acrivastine; Pseudoephedrine	modified_drug	65
123	8735	DRUG	Acrylic Acid	acrylic acid	Acrylic Acid	PubChem	30
124	8147	DRUG	Actelion-1	actelion-1	BRYOSTATIN 1	ChEMBL	20
125	54	DRUG	acyclovir	acyclovir	Acyclovir	standard	49
126	6471	DRUG	acyclovir 50 mg/ml / hydrocortisone 10 mg/ml topical cream	acyclovir 50 mg/ml / hydrocortisone 10 mg/ml topical cream	Acyclovir; hydrocortisone	ChEBI;PubChem	138
127	6373	DRUG	ad26covs1	ad26covs1	Janssen COVID-19 Vaccine	alias_drug	17
128	55	DRUG	adagrasib	adagrasib	Adagrasib	standard	29
129	56	DRUG	adalimumab	adalimumab	Adalimumab	standard	49
130	57	DRUG	adapalene	adapalene	Adapalene	standard	60
131	6472	DRUG	adapalene / benzoyl peroxide / clindamycin topical gel	adapalene / benzoyl peroxide / clindamycin topical gel	Adapalene; Benzoyl Peroxide; Clindamycin	Composite standard-source core descriptions	101
132	6473	DRUG	adapalene / benzoyl peroxide topical gel	adapalene / benzoyl peroxide topical gel	Adapalene; Benzoyl Peroxide	modified_drug	44
133	58	DRUG	adcetris	adcetris	brentuximab vedotin	corrected_overlay	12
134	59	DRUG	adderall	adderall	amphetamine; dextroamphetamine	corrected_overlay	16
135	60	DRUG	adefovir	adefovir	Adefovir	standard	102
136	61	DRUG	adefovir dipivoxil	adefovir dipivoxil	Adefovir Dipivoxil	standard	78
137	62	DRUG	ademetionine	ademetionine	S-Adenosylmethionine	standard	43
138	8651	DRUG	Adenine	adenine	Adenine	PubChem	60
139	63	DRUG	adenosine	adenosine	Adenosine	standard	56
140	7698	DRUG	Adenosine phosphate	adenosine phosphate	Adenosine phosphate	PubChem	71
141	8060	DRUG	Adinazolam	adinazolam	ADINAZOLAM MESYLATE	ChEMBL	20
142	64	DRUG	adiphenine	adiphenine	Adiphenine	standard	7
143	65	DRUG	ado-trastuzumab-emtansine cas nr	ado-trastuzumab-emtansine cas nr	TRASTUZUMAB EMTANSINE	standard	6
144	8162	DRUG	Adomiparin	adomiparin	Adomiparin	DrugBank	14
145	66	DRUG	advicor	advicor	lovastatin; niacin	corrected_overlay	12
146	8166	DRUG	AEG35156	aeg35156	AEG-35156	ChEMBL	18
147	67	DRUG	afamelanotide	afamelanotide	Afamelanotide	ChEBI	33
148	68	DRUG	afatinib	afatinib	Afatinib	standard	85
149	8810	DRUG	Afimoxifene	afimoxifene	Afimoxifene	PubChem	70
150	69	DRUG	aflibercept	aflibercept	Ziv-Aflibercept	standard	78
151	8257	DRUG	Afuresertib	afuresertib	Afuresertib	PubChem	6
152	70	DRUG	agalsidase alfa	agalsidase alfa	Agalsidase Alfa	standard	1
153	71	DRUG	agalsidase beta	agalsidase beta	Agalsidase Beta	DailyMed	268
154	72	DRUG	aggrenox	aggrenox	Aspirin/Dipyridamole	standard	76
155	73	DRUG	agkistrodon piscivorus antivenin	agkistrodon piscivorus antivenin	ANTIVENIN (CROTALIDAE) POLYVALENT	standard	1
