row_index	source_line	entity_type	entity	norm_entity	standard_name	description_source	description_words
104	6870	DISEASE	acute heart failure	acute heart failure	Acute Heart Failure Related to COVID-19	modified_disease	23
105	6871	DISEASE	acute hematogenous osteomyelitis	acute hematogenous osteomyelitis	osteomyelitis	modified_disease	24
106	6872	DISEASE	acute hepatic porphyria	acute hepatic porphyria	hepatic porphyria	modified_disease	29
107	6873	DISEASE	acute herpes zoster	acute herpes zoster	Herpes Zoster	modified_disease	38
108	6874	DISEASE	acute hyperammonemia	acute hyperammonemia	Acute hyperammonemia	modified_disease	17
109	6875	DISEASE	acute hypotensive state	acute hypotensive state	hypotensive disorder	modified_disease	13
110	6876	DISEASE	acute infectious disease	acute infectious disease	infectious disease	modified_disease	25
111	6877	DISEASE	acute insomnia	acute insomnia	insomnia	modified_disease	18
112	6878	DISEASE	acute intermittent porphyria	acute intermittent porphyria	Porphyria, Acute Intermittent	modified_disease	33
113	6879	DISEASE	acute intestinal amebiasis	acute intestinal amebiasis	acute intestinal ischemia	modified_disease	16
114	6880	DISEASE	acute iron intoxication	acute iron intoxication	iron poisoning / iron intoxication	corrected_overlay	18
115	9507	DISEASE	acute ischemic stroke	acute ischemic stroke	Acute Ischemic Stroke	curated_standard_definition	28
116	6881	DISEASE	acute ischemic stroke (ais)	acute ischemic stroke (ais)	Ischemic Stroke	modified_disease	27
117	6882	DISEASE	acute kidney failure	acute kidney failure	Acute Kidney Injury	modified_disease	12
118	6883	DISEASE	acute labyrinthitis	acute labyrinthitis	labyrinthitis	modified_disease	18
119	6884	DISEASE	acute laryngopharyngitis	acute laryngopharyngitis	acute laryngopharyngitis	modified_disease	19
120	6885	DISEASE	acute left ventricular failure	acute left ventricular failure	left ventricular failure	modified_disease	29
121	6886	DISEASE	acute leukemia	acute leukemia	acute leukemia	modified_disease	23
122	6887	DISEASE	acute liver failure	acute liver failure	Liver Failure, Acute	modified_disease	29
123	6888	DISEASE	acute lung injury	acute lung injury	Acute Lung Injury	modified_disease	32
124	6889	DISEASE	acute lymphoblastic leukemia	acute lymphoblastic leukemia	Precursor Cell Lymphoblastic Leukemia-Lymphoma	modified_disease	27
125	6890	DISEASE	acute lymphocytic leukemia (all)	acute lymphocytic leukemia (all)	Leukemia	modified_disease	32
126	6891	DISEASE	acute mania	acute mania	acute manic episode	corrected_overlay	16
127	6892	DISEASE	acute manic or mixed episodes associated with bipolar i disorder	acute manic or mixed episodes associated with bipolar i disorder	bipolar I disorder	modified_disease	28
128	6893	DISEASE	acute massive pulmonary embolism	acute massive pulmonary embolism	pulmonary embolism	modified_disease	29
129	6894	DISEASE	acute maxillary sinusitis	acute maxillary sinusitis	acute maxillary sinusitis	modified_disease	12
130	6895	DISEASE	acute migraine	acute migraine	Migraine with Aura	modified_disease	26
131	6896	DISEASE	acute monocytic leukemia	acute monocytic leukemia	Leukemia, Monocytic, Acute	modified_disease	29
132	6897	DISEASE	acute myeloblastic leukemia without maturation	acute myeloblastic leukemia without maturation	acute myeloblastic leukemia without maturation	modified_disease	25
133	6898	DISEASE	acute myeloid leukemia	acute myeloid leukemia	Leukemia, Myeloid, Acute	modified_disease	19
134	6899	DISEASE	acute myeloid leukemia (aml)	acute myeloid leukemia (aml)	Leukemia, Myeloid, Acute	modified_disease	20
135	6900	DISEASE	acute myeloid leukemia with multilineage dysplasia	acute myeloid leukemia with multilineage dysplasia	acute myeloid leukemia with multilineage dysplasia	modified_disease	24
136	6901	DISEASE	acute myelomonocytic leukemia m4	acute myelomonocytic leukemia m4	acute myelomonocytic leukemia M4	modified_disease	21
137	6902	DISEASE	acute myocardial infarction	acute myocardial infarction	acute myocardial infarction	modified_disease	23
138	6903	DISEASE	acute necrotizing ulcerative gingivitis	acute necrotizing ulcerative gingivitis	Gingivitis, Necrotizing Ulcerative	modified_disease	36
139	6904	DISEASE	acute non-lymphocytic leukemia	acute non-lymphocytic leukemia	Leukemia, Myeloid, Acute	modified_disease	19
140	6905	DISEASE	acute otitis externa	acute otitis externa	acute otitis externa	modified_disease	12
141	6906	DISEASE	acute otitis media	acute otitis media	infectious otitis media	modified_disease	21
142	6907	DISEASE	acute pain	acute pain	Acute Pain	modified_disease	23
143	6908	DISEASE	acute pelvic inflammatory disease	acute pelvic inflammatory disease	pelvic inflammatory disease	modified_disease	22
144	6909	DISEASE	acute pharyngitis	acute pharyngitis	acute pharyngitis	modified_disease	16
145	6910	DISEASE	acute porphyria	acute porphyria	Porphyria, Acute Intermittent	modified_disease	32
146	6911	DISEASE	acute proliferative glomerulonephritis	acute proliferative glomerulonephritis	acute proliferative glomerulonephritis	modified_disease	24
147	6912	DISEASE	acute promyelocytic leukemia	acute promyelocytic leukemia	Leukemia, Promyelocytic, Acute	modified_disease	16
148	6913	DISEASE	acute prostatitis	acute prostatitis	Acute Prostatitis	modified_disease	15
149	6914	DISEASE	acute psychosis	acute psychosis	Psychotic Disorders	MeSH	36
150	6915	DISEASE	acute pulmonary blastomycosis	acute pulmonary blastomycosis	blastomycosis	modified_disease	37
151	6916	DISEASE	acute pulmonary edema	acute pulmonary edema	Acute Pulmonary Edema	modified_disease	26
152	6917	DISEASE	acute pulmonary emboli	acute pulmonary emboli	Pulmonary Embolism	MeSH	28
153	6918	DISEASE	acute pulmonary embolism	acute pulmonary embolism	Acute Pulmonary Embolism	modified_disease	14
154	6919	DISEASE	acute pulmonary thromboembolism	acute pulmonary thromboembolism	venous thromboembolism	modified_disease	28
155	6920	DISEASE	acute pyelonephritis	acute pyelonephritis	acute pyelonephritis	modified_disease	9
156	6921	DISEASE	acute quadriplegic myopathy	acute quadriplegic myopathy	acute quadriplegic myopathy	modified_disease	19
157	6922	DISEASE	acute radiation syndrome	acute radiation syndrome	Acute Radiation Syndrome	modified_disease	25
158	6923	DISEASE	acute rejection	acute rejection	Acute Rejection	modified_disease	21
159	6924	DISEASE	acute renal failure	acute renal failure	Acute Kidney Injury	modified_disease	12
160	6925	DISEASE	acute respiratory distress syndrome	acute respiratory distress syndrome	Respiratory Distress Syndrome	modified_disease	34
161	6926	DISEASE	acute respiratory distress syndrome (ards)	acute respiratory distress syndrome (ards)	Respiratory Distress Syndrome	modified_disease	35
162	6927	DISEASE	acute respiratory insufficiency	acute respiratory insufficiency	Respiratory Insufficiency	modified_disease	25
163	6928	DISEASE	acute retention of urine	acute retention of urine	acute infection of pinna	modified_disease	24
